date,sentences
"2017-10-15",49
"2017-10-18",31
"2017-10-21",10
"2017-10-24",9
"2017-10-27",55
"2017-10-30",29
"2017-11-02",6
"2017-11-05",13
"2017-11-08",6
"2017-11-11",1
"2017-11-14",11
"2017-11-17",7
"2017-11-20",2
"2017-11-23",4
"2017-11-26",0
"2017-11-29",0
"2017-12-02",1
"2017-12-05",18
"2017-12-08",4
"2017-12-11",0
"2017-12-14",5
"2017-12-17",17
"2017-12-20",7
"2017-12-23",1
"2017-12-26",4
"2017-12-29",1
"2018-01-01",10
"2018-01-04",4
"2018-01-07",16
"2018-01-10",7
"2018-01-13",1
"2018-01-16",2
