date,sentences
"2017-10-15",140
"2017-10-18",68
"2017-10-21",11
"2017-10-24",10
"2017-10-27",5
"2017-10-30",12
"2017-11-02",1
"2017-11-05",1
"2017-11-08",4
"2017-11-11",9
"2017-11-14",3
"2017-11-17",3
"2017-11-20",4
"2017-11-23",1
"2017-11-26",1
"2017-11-29",5
"2017-12-02",1
"2017-12-05",50
"2017-12-08",9
"2017-12-11",7
"2017-12-14",9
"2017-12-17",16
"2017-12-20",3
"2017-12-23",0
"2017-12-26",9
"2017-12-29",12
"2018-01-01",5
"2018-01-04",5
"2018-01-07",3
"2018-01-10",4
"2018-01-13",1
"2018-01-16",12
