date,sentences
"2017-10-15",20
"2017-10-18",26
"2017-10-21",6
"2017-10-24",6
"2017-10-27",14
"2017-10-30",6
"2017-11-02",1
"2017-11-05",2
"2017-11-08",6
"2017-11-11",12
"2017-11-14",0
"2017-11-17",5
"2017-11-20",2
"2017-11-23",1
"2017-11-26",0
"2017-11-29",3
"2017-12-02",4
"2017-12-05",65
"2017-12-08",10
"2017-12-11",4
"2017-12-14",8
"2017-12-17",12
"2017-12-20",6
"2017-12-23",2
"2017-12-26",7
"2017-12-29",22
"2018-01-01",7
"2018-01-04",2
"2018-01-07",99
"2018-01-10",25
"2018-01-13",9
"2018-01-16",7
