date,sentences
"2017-10-01",0
"2017-10-04",0
"2017-10-07",0
"2017-10-10",0
"2017-10-13",0
"2017-10-16",0
"2017-10-19",0
"2017-10-22",0
"2017-10-25",0
"2017-10-28",0
"2017-10-31",0
"2017-11-03",0
"2017-11-06",1
"2017-11-09",1
"2017-11-12",0
"2017-11-15",0
"2017-11-18",0
"2017-11-21",0
"2017-11-24",0
"2017-11-27",0
"2017-11-30",0
"2017-12-03",0
"2017-12-06",0
"2017-12-09",0
"2017-12-12",0
"2017-12-15",0
"2017-12-18",0
"2017-12-21",0
"2017-12-24",0
"2017-12-27",0
"2017-12-30",0
"2018-01-02",1
"2018-01-05",41
"2018-01-08",37
"2018-01-11",11
"2018-01-14",0
"2018-01-17",2
