date,sentences
"2017-10-15",100
"2017-10-18",11
"2017-10-21",10
"2017-10-24",7
"2017-10-27",4
"2017-10-30",8
"2017-11-02",1
"2017-11-05",3
"2017-11-08",8
"2017-11-11",1
"2017-11-14",4
"2017-11-17",0
"2017-11-20",2
"2017-11-23",0
"2017-11-26",0
"2017-11-29",2
"2017-12-02",1
"2017-12-05",14
"2017-12-08",10
"2017-12-11",3
"2017-12-14",3
"2017-12-17",2
"2017-12-20",1
"2017-12-23",0
"2017-12-26",2
"2017-12-29",1
"2018-01-01",1
"2018-01-04",4
"2018-01-07",36
"2018-01-10",29
"2018-01-13",2
"2018-01-16",67
