date,sentences
"2017-10-15",0
"2017-10-18",0
"2017-10-21",0
"2017-10-24",0
"2017-10-27",0
"2017-10-30",0
"2017-11-02",1
"2017-11-05",0
"2017-11-08",0
"2017-11-11",0
"2017-11-14",329
"2017-11-17",311
"2017-11-20",178
"2017-11-23",34
"2017-11-26",126
"2017-11-29",106
"2017-12-02",15
"2017-12-05",399
"2017-12-08",120
"2017-12-11",59
"2017-12-14",23
"2017-12-17",18
"2017-12-20",28
"2017-12-23",3
"2017-12-26",10
"2017-12-29",9
"2018-01-01",17
"2018-01-04",18
"2018-01-07",15
"2018-01-10",12
"2018-01-13",2
"2018-01-16",4
