date,sentences
"2017-10-15",1179
"2017-10-18",757
"2017-10-21",431
"2017-10-24",661
"2017-10-27",372
"2017-10-30",574
"2017-11-02",325
"2017-11-05",324
"2017-11-08",365
"2017-11-11",184
"2017-11-14",391
"2017-11-17",199
"2017-11-20",230
"2017-11-23",86
"2017-11-26",151
"2017-11-29",225
"2017-12-02",103
"2017-12-05",432
"2017-12-08",104
"2017-12-11",152
"2017-12-14",145
"2017-12-17",153
"2017-12-20",126
"2017-12-23",14
"2017-12-26",65
"2017-12-29",57
"2018-01-01",114
"2018-01-04",81
"2018-01-07",204
"2018-01-10",137
"2018-01-13",56
"2018-01-16",172
