date,sentences
"2017-10-15",30
"2017-10-18",42
"2017-10-21",14
"2017-10-24",13
"2017-10-27",37
"2017-10-30",16
"2017-11-02",6
"2017-11-05",6
"2017-11-08",8
"2017-11-11",19
"2017-11-14",3
"2017-11-17",13
"2017-11-20",9
"2017-11-23",3
"2017-11-26",2
"2017-11-29",10
"2017-12-02",10
"2017-12-05",115
"2017-12-08",25
"2017-12-11",9
"2017-12-14",18
"2017-12-17",25
"2017-12-20",13
"2017-12-23",5
"2017-12-26",19
"2017-12-29",43
"2018-01-01",24
"2018-01-04",5
"2018-01-07",248
"2018-01-10",48
"2018-01-13",17
"2018-01-16",11
