date,sentences
"2017-10-15",5
"2017-10-18",3
"2017-10-21",2
"2017-10-24",4
"2017-10-27",0
"2017-10-30",2
"2017-11-02",9
"2017-11-05",10
"2017-11-08",87
"2017-11-11",1
"2017-11-14",72
"2017-11-17",20
"2017-11-20",9
"2017-11-23",0
"2017-11-26",25
"2017-11-29",3
"2017-12-02",7
"2017-12-05",69
"2017-12-08",2
"2017-12-11",2
"2017-12-14",7
"2017-12-17",2
"2017-12-20",0
"2017-12-23",4
"2017-12-26",4
"2017-12-29",0
"2018-01-01",2
"2018-01-04",0
"2018-01-07",4
"2018-01-10",2
"2018-01-13",4
"2018-01-16",1
