date,sentences
"2017-10-15",8
"2017-10-18",1
"2017-10-21",0
"2017-10-24",1
"2017-10-27",0
"2017-10-30",0
"2017-11-02",0
"2017-11-05",1
"2017-11-08",1
"2017-11-11",0
"2017-11-14",0
"2017-11-17",0
"2017-11-20",0
"2017-11-23",0
"2017-11-26",0
"2017-11-29",0
"2017-12-02",0
"2017-12-05",11
"2017-12-08",11
"2017-12-11",2
"2017-12-14",1
"2017-12-17",3
"2017-12-20",0
"2017-12-23",0
"2017-12-26",0
"2017-12-29",0
"2018-01-01",1
"2018-01-04",4
"2018-01-07",9
"2018-01-10",20
"2018-01-13",4
"2018-01-16",107
