date,sentences
"2017-10-15",0
"2017-10-18",0
"2017-10-21",0
"2017-10-24",0
"2017-10-27",0
"2017-10-30",1
"2017-11-02",0
"2017-11-05",3
"2017-11-08",3
"2017-11-11",2
"2017-11-14",623
"2017-11-17",582
"2017-11-20",391
"2017-11-23",96
"2017-11-26",247
"2017-11-29",201
"2017-12-02",34
"2017-12-05",850
"2017-12-08",273
"2017-12-11",156
"2017-12-14",43
"2017-12-17",46
"2017-12-20",57
"2017-12-23",12
"2017-12-26",23
"2017-12-29",15
"2018-01-01",48
"2018-01-04",16
"2018-01-07",28
"2018-01-10",18
"2018-01-13",6
"2018-01-16",9
