date,sentences
"2017-10-15",141
"2017-10-18",98
"2017-10-21",38
"2017-10-24",24
"2017-10-27",216
"2017-10-30",145
"2017-11-02",34
"2017-11-05",42
"2017-11-08",39
"2017-11-11",11
"2017-11-14",60
"2017-11-17",18
"2017-11-20",10
"2017-11-23",19
"2017-11-26",10
"2017-11-29",7
"2017-12-02",3
"2017-12-05",55
"2017-12-08",23
"2017-12-11",13
"2017-12-14",15
"2017-12-17",80
"2017-12-20",36
"2017-12-23",9
"2017-12-26",15
"2017-12-29",5
"2018-01-01",57
"2018-01-04",18
"2018-01-07",67
"2018-01-10",35
"2018-01-13",3
"2018-01-16",16
