date,sentences
"2017-10-15",339
"2017-10-18",168
"2017-10-21",48
"2017-10-24",24
"2017-10-27",26
"2017-10-30",28
"2017-11-02",7
"2017-11-05",2
"2017-11-08",11
"2017-11-11",25
"2017-11-14",9
"2017-11-17",11
"2017-11-20",10
"2017-11-23",8
"2017-11-26",5
"2017-11-29",8
"2017-12-02",3
"2017-12-05",83
"2017-12-08",33
"2017-12-11",13
"2017-12-14",25
"2017-12-17",34
"2017-12-20",4
"2017-12-23",4
"2017-12-26",19
"2017-12-29",23
"2018-01-01",20
"2018-01-04",10
"2018-01-07",22
"2018-01-10",12
"2018-01-13",7
"2018-01-16",25
