date,sentences
"2017-10-15",398
"2017-10-18",108
"2017-10-21",76
"2017-10-24",138
"2017-10-27",237
"2017-10-30",139
"2017-11-02",227
"2017-11-05",136
"2017-11-08",119
"2017-11-11",158
"2017-11-14",319
"2017-11-17",520
"2017-11-20",395
"2017-11-23",124
"2017-11-26",247
"2017-11-29",333
"2017-12-02",278
"2017-12-05",535
"2017-12-08",266
"2017-12-11",1327
"2017-12-14",250
"2017-12-17",207
"2017-12-20",111
"2017-12-23",85
"2017-12-26",213
"2017-12-29",139
"2018-01-01",152
"2018-01-04",121
"2018-01-07",245
"2018-01-10",197
"2018-01-13",71
"2018-01-16",151
