date,sentences
"2017-10-15",2712
"2017-10-18",1988
"2017-10-21",1066
"2017-10-24",1497
"2017-10-27",934
"2017-10-30",1477
"2017-11-02",1011
"2017-11-05",755
"2017-11-08",804
"2017-11-11",550
"2017-11-14",812
"2017-11-17",447
"2017-11-20",501
"2017-11-23",331
"2017-11-26",393
"2017-11-29",421
"2017-12-02",229
"2017-12-05",827
"2017-12-08",248
"2017-12-11",396
"2017-12-14",476
"2017-12-17",374
"2017-12-20",345
"2017-12-23",76
"2017-12-26",146
"2017-12-29",139
"2018-01-01",341
"2018-01-04",247
"2018-01-07",502
"2018-01-10",410
"2018-01-13",241
"2018-01-16",352
