date,sentences
"2017-10-15",69
"2017-10-18",6
"2017-10-21",5
"2017-10-24",4
"2017-10-27",2
"2017-10-30",4
"2017-11-02",1
"2017-11-05",1
"2017-11-08",11
"2017-11-11",0
"2017-11-14",0
"2017-11-17",0
"2017-11-20",0
"2017-11-23",0
"2017-11-26",1
"2017-11-29",2
"2017-12-02",0
"2017-12-05",14
"2017-12-08",10
"2017-12-11",2
"2017-12-14",6
"2017-12-17",2
"2017-12-20",0
"2017-12-23",0
"2017-12-26",0
"2017-12-29",0
"2018-01-01",2
"2018-01-04",10
"2018-01-07",37
"2018-01-10",27
"2018-01-13",9
"2018-01-16",134
